5.3748000000000005e+25	8705063.134765627
5.36941981981982e+25	8698343.889689876
5.3640396396396405e+25	8691712.624692652
5.35865945945946e+25	8685166.559123468
5.35327927927928e+25	8678705.34232561
5.347899099099099e+25	8672314.160623465
5.34251891891892e+25	8665982.230302328
5.337138738738739e+25	8659709.036654761
5.331758558558559e+25	8653493.265549148
5.326378378378379e+25	8647329.221388761
5.320998198198199e+25	8641212.988048628
5.3156180180180184e+25	8635140.078009965
5.310237837837838e+25	8629105.428110594
5.3048576576576585e+25	8623107.686789097
5.299477477477478e+25	8617147.042793399
5.294097297297298e+25	8611224.960517015
5.288717117117118e+25	8605342.355844334
5.283336936936938e+25	8599497.451320987
5.277956756756757e+25	8593686.67260906
5.272576576576577e+25	8587903.855699388
5.267196396396397e+25	8582145.359868357
5.261816216216217e+25	8576409.481930861
5.256436036036036e+25	8570695.562266873
5.251055855855856e+25	8565003.795936309
5.245675675675676e+25	8559335.127446225
5.240295495495496e+25	8553690.392330322
5.2349153153153155e+25	8548069.748233808
5.229535135135136e+25	8542473.037955694
5.2241549549549556e+25	8536899.954839233
5.218774774774775e+25	8531349.974949777
5.213394594594595e+25	8525822.427768026
5.208014414414415e+25	8520316.493165107
5.202634234234235e+25	8514830.142436147
5.197254054054054e+25	8509361.506097928
5.191873873873875e+25	8503910.071821092
5.186493693693694e+25	8498475.65202975
5.181113513513514e+25	8493058.311897637
5.1757333333333335e+25	8487658.371169386
5.170353153153154e+25	8482276.244132558
5.1649729729729735e+25	8476912.503221856
5.159592792792793e+25	8471567.994049411
5.1542126126126135e+25	8466244.896644974
5.148832432432433e+25	8460944.164414726
5.143452252252253e+25	8455665.761058226
5.138072072072072e+25	8450409.153846625
5.132691891891893e+25	8445173.362522684
5.127311711711712e+25	8439957.023229068
5.121931531531532e+25	8434758.428587468
5.116551351351351e+25	8429575.08803968
5.111171171171172e+25	8424403.429752376
5.105790990990991e+25	8419241.342138186
5.100410810810811e+25	8414087.305201337
5.0950306306306314e+25	8408940.231389888
5.089650450450451e+25	8403799.316270176
5.084270270270271e+25	8398663.993992392
5.07889009009009e+25	8393533.91657716
5.073509909909911e+25	8388408.934502569
5.06812972972973e+25	8383289.064774533
5.06274954954955e+25	8378174.568232661
5.05736936936937e+25	8373065.805657776
5.05198918918919e+25	8367963.351938694
5.046609009009009e+25	8362868.025860657
5.041228828828829e+25	8357781.223873386
5.035848648648649e+25	8352703.443734139
5.030468468468469e+25	8347634.945244415
5.0250882882882885e+25	8342575.887028382
5.019708108108109e+25	8337526.492056842
5.0143279279279285e+25	8332486.815691645
5.008947747747748e+25	8327456.885238757
5.003567567567568e+25	8322436.749473468
4.998187387387388e+25	8317426.354162302
4.992807207207208e+25	8312425.613327204
4.987427027027027e+25	8307434.471797078
4.982046846846848e+25	8302452.7912999755
4.976666666666667e+25	8297480.414157695
4.971286486486487e+25	8292517.09597158
4.9659063063063065e+25	8287562.516338476
4.960526126126127e+25	8282616.28210137
4.9551459459459465e+25	8277678.213871308
4.949765765765766e+25	8272748.151261659
4.9443855855855865e+25	8267826.02455645
4.939005405405406e+25	8262911.70981308
4.933625225225226e+25	8258005.118447071
4.928245045045045e+25	8253106.138060766
4.922864864864866e+25	8248214.661579835
4.917484684684685e+25	8243330.601974079
4.912104504504505e+25	8238453.850797656
4.906724324324325e+25	8233584.325880137
4.901344144144145e+25	8228721.908450864
4.895963963963964e+25	8223866.536567975
4.890583783783784e+25	8219018.088376866
4.885203603603604e+25	8214176.478129911
4.879823423423424e+25	8209341.590330873
4.8744432432432436e+25	8204513.371552793
4.869063063063064e+25	8199691.712067384
4.863682882882884e+25	8194876.554802762
4.858302702702703e+25	8190067.788121587
4.852922522522523e+25	8185265.341782366
4.847542342342342e+25	8180469.102799074
4.842162162162163e+25	8175678.984103037
4.836781981981982e+25	8170894.875909183
4.831401801801802e+25	8166116.688829917
4.826021621621622e+25	8161344.319079765
4.820641441441442e+25	8156577.6663117735
4.8152612612612615e+25	8151816.6286842115
4.809881081081081e+25	8147061.09942584
4.8045009009009015e+25	8142310.973677114
4.799120720720721e+25	8137566.145434317
4.793740540540541e+25	8132826.501030983
4.788360360360361e+25	8128091.940873516
4.782980180180181e+25	8123362.345851221
4.7776e+25	8118637.618382815
4.77221981981982e+25	8113917.690794889
4.76683963963964e+25	8109202.494060715
4.76145945945946e+25	8104491.941759449
4.7560792792792794e+25	8099785.952010501
4.7506990990991e+25	8095084.439495885
4.7453189189189194e+25	8090387.296634334
4.739938738738739e+25	8085694.429158342
4.734558558558559e+25	8081005.743318507
4.729178378378379e+25	8076321.121122438
4.723798198198199e+25	8071640.481456334
4.718418018018018e+25	8066963.70214732
4.713037837837839e+25	8062290.68052749
4.707657657657658e+25	8057621.330792763
4.702277477477478e+25	8052955.493140219
4.696897297297297e+25	8048293.090655621
4.691517117117118e+25	8043634.001503789
4.686136936936937e+25	8038978.085607459
4.680756756756757e+25	8034325.269704965
4.675376576576577e+25	8029675.357718107
4.669996396396397e+25	8025028.217002448
4.6646162162162165e+25	8020383.755495771
4.659236036036036e+25	8015741.562112604
4.6538558558558566e+25	8011101.5198450135
4.648475675675676e+25	8006463.533188965
4.643095495495496e+25	8001827.378360636
4.637715315315316e+25	7997192.989902077
4.632335135135136e+25	7992560.2818444
4.626954954954955e+25	7987929.122965563
4.621574774774775e+25	7983299.459964312
4.616194594594595e+25	7978671.22976654
4.610814414414415e+25	7974044.358132615
4.6054342342342345e+25	7969418.797770938
4.600054054054055e+25	7964794.512921206
4.5946738738738745e+25	7960171.474872959
